year,event_id,knet_station,hinet_station,series,seconds_relative_to_theoretical_p,value
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.7117633819580078,-4.419326439051735e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.6717634201049805,2.0531003681639693e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.6317634582519531,-6.443156337601333e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.5917634963989258,4.229540311068446e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.5517635345458984,-2.016044371269269e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.5117635726928711,4.8577984533033264e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.47176337242126465,-1.3389844949854282e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.4317634105682373,4.841419866647771e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.39176344871520996,-8.880119344213295e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.3517634868621826,-5.608159410853442e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.3117635250091553,-9.430563174439613e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.27176356315612793,-7.415239074795974e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.23176360130310059,0.00012037668456980285
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.19176340103149414,-1.1783865816583951e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.1517634391784668,-3.731384576665331e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.11176347732543945,1.7538755238414197e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.07176351547241211,4.914765434706671e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-0.031763553619384766,-4.413516269583608e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,0.008236408233642578,-9.331675704957537e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,0.04823660850524902,1.4506955623591572e-05
