year,event_id,path,size_bytes,catalog_event,outer_tar_valid,outer_member_count,has_knet_product,has_kiknet_product,has_image_product,product_class,error
2000,20001007121400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001007121400.tar,727040,1,1,2,1,0,1,knet_only,
2000,20001007161000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001007161000.tar,2191360,1,1,3,1,1,1,both,
2000,20001007175400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001007175400.tar,839680,1,1,2,1,0,1,knet_only,
2000,20001007183200,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001007183200.tar,6799360,1,1,3,1,1,1,both,
2000,20001008010800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001008010800.tar,860160,1,1,2,1,0,1,knet_only,
2000,20001008060800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001008060800.tar,3676160,1,1,3,1,1,1,both,
2000,20001008062100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001008062100.tar,1935360,1,1,3,1,1,1,both,
2000,20001008063700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001008063700.tar,2283520,1,1,3,1,1,1,both,
2000,20001008131700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001008131700.tar,34119680,1,1,3,1,1,1,both,
2000,20001008141700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001008141700.tar,1699840,1,1,3,1,1,1,both,
2000,20001008205100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001008205100.tar,24422400,1,1,3,1,1,1,both,
2000,20001008205900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001008205900.tar,8407040,1,1,3,1,1,1,both,
2000,20001008213400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001008213400.tar,1433600,1,1,3,1,1,1,both,
2000,20001009011400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001009011400.tar,2078720,1,1,3,1,1,1,both,
2000,20001009022000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001009022000.tar,9881600,1,1,3,1,1,1,both,
2000,20001009065900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001009065900.tar,1536000,1,1,3,1,1,1,both,
2000,20001009192400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001009192400.tar,3819520,1,1,3,1,1,1,both,
2000,20001009195000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001009195000.tar,1249280,1,1,3,1,1,1,both,
2000,20001010022600,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001010022600.tar,1761280,1,1,3,1,1,1,both,
2000,20001010110700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001010110700.tar,1167360,1,1,3,1,1,1,both,
2000,20001010130400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001010130400.tar,2201600,1,1,2,0,1,1,kiknet_only,
2000,20001010171900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001010171900.tar,3962880,1,1,3,1,1,1,both,
2000,20001010192400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001010192400.tar,3665920,1,1,3,1,1,1,both,
2000,20001010215800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001010215800.tar,19015680,1,1,3,1,1,1,both,
2000,20001011140800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001011140800.tar,798720,1,1,3,1,1,1,both,
2000,20001011151500,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001011151500.tar,9564160,1,1,3,1,1,1,both,
2000,20001011211500,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001011211500.tar,1228800,1,1,3,1,1,1,both,
2000,20001011230300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001011230300.tar,4198400,1,1,3,1,1,1,both,
2000,20001012035300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001012035300.tar,3778560,1,1,3,1,1,1,both,
2000,20001012053500,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001012053500.tar,15472640,1,1,3,1,1,1,both,
2000,20001012070900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001012070900.tar,3276800,1,1,3,1,1,1,both,
2000,20001012082400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001012082400.tar,5785600,1,1,3,1,1,1,both,
2000,20001012170700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001012170700.tar,3328000,1,1,3,1,1,1,both,
2000,20001013015400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001013015400.tar,1116160,1,1,3,1,1,1,both,
2000,20001013104400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001013104400.tar,3153920,1,1,3,1,1,1,both,
2000,20001014033600,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001014033600.tar,3594240,1,1,3,1,1,1,both,
2000,20001014080100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001014080100.tar,3297280,1,1,3,1,1,1,both,
2000,20001014201900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001014201900.tar,18176000,1,1,3,1,1,1,both,
2000,20001015203300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001015203300.tar,10956800,1,1,3,1,1,1,both,
2000,20001017221000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001017221000.tar,4782080,1,1,3,1,1,1,both,
2000,20001017221700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20001017221700.tar,21800960,1,1,3,1,1,1,both,
